user_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_segment,segment_name
482,303,2,182.08,2,2,4,224,Засыпающие
930,362,3,182.16,2,3,4,234,Обычные клиенты
96,72,5,182.38,5,4,4,544,Лояльные клиенты
4399,165,4,182.51,4,4,4,444,Лояльные клиенты
1339,247,3,182.68,3,3,4,334,Обычные клиенты
3464,22,5,182.91,5,5,4,554,Лояльные клиенты
2961,146,3,182.93,4,2,4,424,Потенциальные лоялисты
1176,103,4,183.05,5,4,4,544,Лояльные клиенты
3657,292,6,183.24,3,5,4,354,Обычные клиенты
1734,337,7,183.37,2,5,4,254,Нельзя потерять
3227,223,5,183.38,3,5,4,354,Обычные клиенты
2486,178,7,183.5,4,5,4,454,Лояльные клиенты
77,236,4,183.62,3,3,4,334,Обычные клиенты
3029,216,4,184.07,4,4,4,444,Лояльные клиенты
481,369,4,184.14,2,3,4,234,Обычные клиенты
833,158,7,184.31,4,5,4,454,Лояльные клиенты
2762,205,5,184.42,4,4,4,444,Лояльные клиенты
190,254,4,184.74,3,3,4,334,Обычные клиенты
2053,251,4,184.93,3,3,4,334,Обычные клиенты
4566,264,5,185.21,3,5,4,354,Обычные клиенты
1901,116,4,185.24,5,3,4,534,Потенциальные лоялисты
3637,147,5,185.28,4,4,4,444,Лояльные клиенты
563,152,6,185.31,4,5,4,454,Лояльные клиенты
812,169,4,185.57,4,3,4,434,Потенциальные лоялисты
4247,81,4,185.59,5,4,4,544,Лояльные клиенты
1118,212,4,185.59,4,4,4,444,Лояльные клиенты
829,440,4,185.69,1,4,4,144,Нельзя потерять
43,249,2,185.81,3,1,4,314,Засыпающие
2754,409,3,185.83,1,3,4,134,Обычные клиенты
4230,258,5,185.91,3,5,4,354,Обычные клиенты
75,254,3,186.56,3,3,4,334,Обычные клиенты
2217,315,6,186.65,2,5,4,254,Нельзя потерять
1180,391,6,186.69,1,5,4,154,Нельзя потерять
3975,144,5,186.79,4,4,4,444,Лояльные клиенты
866,177,3,186.79,4,2,4,424,Потенциальные лоялисты
